Codigo                DNI              Cantidad     Fecha               
SSE-115               89863424         4            20230827
EVN-510               67418025         5            20230827
YUQ-590               26976877         4            20230827
XTE-383               57690875         6            20230827
JFC-432               84165595         3            20230827
PJG-338               63437380         2            20230827
XLF-273               22777006         2            20230827
ISU-815               52097922         5            20230827
JCW-489               13245501         5            20230827
YYK-309               22777006         3            20230827
BRD-969               95751208         4            20230827
YEZ-591               63437380         5            20230827
YZD-580               37110873         5            20230827
CIM-038               25171011         1            20230827
III-576               60574154         6            20230827
KJX-387               78757121         4            20230827
TZY-323               45828535         6            20230828
BWD-036               57263719         3            20230828
OXP-732               23928045         3            20230828
DEN-125               73786035         4            20230828
CJE-310               79464412         5            20230828
AVM-258               35584593         4            20230828
NMV-644               94080926         5            20230828
MYC-756               85871751         2            20230828
CIM-038               57690875         3            20230828
QFP-254               43043986         5            20230828
AWB-345               44679500         1            20230828
FVQ-662               32565207         5            20230828
HFM-021               69975105         6            20230828
QFP-254               89298238         2            20230828
FVQ-662               43053402         6            20230828
BCN-855               71463316         4            20230828
XLF-273               89148118         5            20230828
OQI-373               95161027         1            20230828
TKM-141               78922174         5            20230828
QUU-384               43877279         5            20230828
BCK-361               40112594         2            20230828
UXG-019               66409237         4            20230828
QVJ-982               79372768         6            20230828
YMU-875               24995742         3            20230828
BCK-361               80048864         3            20230828
UWA-476               71463316         3            20230828
BIT-434               59407188         6            20230828
ARS-231               71378466         6            20230828
UWA-476               77484838         1            20230828
ZWF-661               17972674         1            20230828
OTH-462               89863424         6            20230828
SSE-115               26976877         4            20230828
KCO-488               42157219         2            20230828
OTS-581               42157219         5            20230828
DFJ-952               35565959         2            20230828
NSM-283               42928709         5            20230828
KJX-387               32904023         3            20230828
KSO-608               26233063         3            20230828
KQQ-136               79475585         6            20230828
PPX-620               80048864         1            20230828
SJQ-827               76388967         5            20230828
CIM-038               86241107         2            20230828
KDA-627               60574154         5            20230828
OPJ-039               62324793         2            20230828
CNN-411               16552775         5            20230829
DON-719               69639726         1            20230829
AQS-362               16151792         1            20230829
SNY-500               44229880         3            20230829
ONB-903               53166028         3            20230829
KCO-488               71463316         5            20230829
WZD-331               87800799         2            20230829
BXY-119               31193794         5            20230829
DFF-034               98140264         2            20230829
VRR-793               43053402         2            20230829
YUQ-590               20864087         5            20230829
BTO-226               87800799         3            20230829
YMU-875               45828535         5            20230829
QHC-492               53166028         1            20230829
SJD-818               55552996         1            20230829
FQG-293               95161027         4            20230829
VCL-867               25171011         3            20230829
EBI-299               71463316         6            20230829
PJG-338               45877001         2            20230829
DFJ-952               77642521         5            20230829
HFM-021               88956889         6            20230829
FEG-454               86241107         2            20230829
RBE-789               81114108         2            20230829
OWN-701               52097922         2            20230829
UDR-957               77484838         3            20230829
FQG-293               62324793         1            20230829
XSD-310               71378466         3            20230829
BCK-361               29847168         1            20230829
KWP-672               46462527         3            20230829
NSM-283               79464412         2            20230829
EBI-299               76388967         5            20230829
TYF-885               83505958         5            20230830
QIL-029               42928709         4            20230830
DON-719               15210391         2            20230830
WZD-331               69975105         6            20230830
VCL-867               89429489         6            20230830
ONB-903               32821689         3            20230830
GXF-122               62566305         5            20230830
XBD-314               62324793         5            20230830
JXD-139               35565959         5            20230830
TKM-141               32565207         4            20230830
QRC-609               89863424         3            20230830
GBJ-693               97403853         4            20230830
KQQ-136               96659352         3            20230830
OTH-462               79140840         1            20230830
TKM-141               23928045         5            20230830
KQA-580               48184351         2            20230830
KBY-991               45877001         6            20230830
AVM-258               73185299         3            20230830
GKG-558               26290971         3            20230830
VRR-793               85949265         5            20230830
KQQ-136               97403853         6            20230830
RBE-789               86402303         6            20230830
QHC-492               96258632         2            20230830
AWB-345               63437380         4            20230830
GBD-525               87800799         6            20230830
AQS-362               15210391         2            20230830
TXM-139               19829266         3            20230830
AFL-718               50365593         5            20230830
QFP-254               90237332         3            20230831
CNN-411               42798099         6            20230831
DFF-034               81114108         5            20230831
KBY-991               90365520         6            20230831
SSD-176               35584593         4            20230831
YJD-279               97403853         3            20230831
LWG-915               46462527         6            20230831
QIL-029               93845419         6            20230831
OTH-462               73185299         3            20230831
VRR-793               87800799         2            20230831
OFS-384               64394265         5            20230831
XSD-310               45828535         4            20230831
TMJ-043               69975105         6            20230831
HFM-021               86402303         6            20230831
OQI-373               87813843         1            20230831
UDR-957               54716824         1            20230831
VDD-853               37110873         4            20230831
AWB-345               25171011         6            20230831
FEG-454               67418025         2            20230831
FCN-617               22777006         1            20230831
JDQ-505               48467976         5            20230831
AWT-354               71463316         4            20230831
QUU-384               37110873         4            20230831
EBI-299               89148118         6            20230831
YUQ-590               45783712         2            20230831
QIL-029               13245501         2            20230831
ZEX-027               54716824         6            20230831
LDR-510               62324793         1            20230831
HFM-021               84165595         6            20230901
UXG-019               86241107         2            20230901
SSE-115               79420973         5            20230901
VXS-438               13245501         3            20230901
QHC-492               73185299         3            20230901
SSD-176               43043986         5            20230901
UCX-285               22280452         3            20230901
ZEX-027               77191257         6            20230901
XBD-314               78922174         3            20230901
III-576               49087435         2            20230901
TMN-884               42798099         5            20230901
DEN-125               17913944         1            20230901
FQG-293               78078115         4            20230901
ADX-669               96659352         4            20230901
YYU-726               93160528         1            20230901
QVJ-982               77191257         5            20230901
FVQ-662               31611146         4            20230901
UJV-290               89298238         4            20230901
GLC-370               28390487         2            20230901
AFL-718               89148118         1            20230901
TZY-323               71984468         1            20230901
BMJ-772               40348917         1            20230901
DUG-251               32904023         4            20230901
RDT-761               19829266         3            20230901
IDO-503               16151792         6            20230901
XSD-310               87813843         3            20230901
QVJ-982               41036366         4            20230901
DIQ-718               43488351         6            20230901
XZR-640               91897732         5            20230901
UJV-290               83236386         5            20230901
JXD-139               79140840         4            20230901
DFJ-952               84165595         1            20230901
BZS-261               35565959         1            20230901
LWG-915               50365593         3            20230901
UWA-476               88956889         6            20230902
GLC-370               79372768         4            20230902
FVB-607               89863424         1            20230902
VXS-438               15210391         4            20230902
MTF-868               32821689         5            20230902
CJE-310               98140264         3            20230902
BXY-119               13245501         5            20230902
TXM-139               94080926         5            20230902
LYZ-614               59407188         3            20230902
TZY-323               15210391         3            20230902
RDT-761               84165595         6            20230902
JDQ-505               20864087         6            20230902
BXY-119               89429489         3            20230902
MYC-756               88956889         4            20230902
SJD-818               41036366         4            20230902
DON-719               24995742         3            20230902
DIQ-718               69324480         1            20230902
SSD-176               37110873         1            20230902
AFL-718               50375303         1            20230902
QFP-254               32904023         4            20230902
QTK-083               55552996         1            20230902
TKM-141               90237332         3            20230902
VDD-853               90365520         5            20230902
VJI-529               33397650         6            20230902
TMN-884               50365593         6            20230902
GXF-122               79420973         3            20230902
JDC-028               50365593         6            20230902
UWA-476               33713901         2            20230902
EUZ-452               79372768         5            20230902
MMA-577               43053402         6            20230902
AWT-354               66409237         6            20230902
III-576               95161027         5            20230902
TXM-139               53166028         3            20230902
EJW-346               78922174         6            20230902
DFJ-952               78078115         5            20230902
JFC-432               20864087         1            20230902
SSD-176               45783712         6            20230902
KWP-672               77191257         2            20230902
HFM-021               29337157         4            20230902
OBI-353               79901434         6            20230902
DOV-560               57263719         4            20230902
BRD-969               98140264         1            20230902
DFJ-952               40348917         2            20230902
QIL-029               86828079         5            20230902
QRC-609               79140840         5            20230902
YOT-530               89298238         4            20230902
BXY-119               20864087         4            20230902
DFF-034               66409237         4            20230902
OQI-373               42928709         5            20230902
FVQ-662               71378466         2            20230903
DUG-251               99842319         2            20230903
PVZ-181               26290971         3            20230903
CSZ-863               79901434         5            20230903
FVQ-662               40112594         4            20230903
AWB-345               16552775         6            20230903
TMN-884               23928045         2            20230903
UOD-420               69324480         3            20230903
VVS-017               33713901         1            20230903
ZEX-027               43043986         1            20230903
AQS-362               16151792         1            20230903
UWA-476               73535476         5            20230903
AVM-258               62566305         1            20230903
OTH-462               57263719         5            20230903
XSD-310               52097922         6            20230903
CRU-009               96258632         2            20230903
UXG-019               89429489         1            20230903
CRU-009               50375303         5            20230903
UTN-601               52097922         2            20230903
FLJ-040               73535476         4            20230903
YYU-726               12663268         4            20230903
GBJ-693               96659352         3            20230903
FCN-617               37110873         6            20230903
XZG-521               52097922         4            20230903
OQI-373               42798099         2            20230903
OTS-581               54761731         5            20230903
VTV-269               26976877         4            20230903
ZEX-027               79901434         2            20230903
UOD-420               95751208         4            20230903
GBJ-693               15561764         2            20230903
RBE-789               32904023         6            20230903
OWN-701               59407188         1            20230903
JFC-432               85949265         4            20230904
BCN-855               38913831         3            20230904
YMU-875               45783712         4            20230904
VXS-438               50375303         4            20230904
MTF-868               88995291         3            20230904
UWA-476               26233063         1            20230904
JXD-139               44229880         4            20230904
HLR-109               36380447         2            20230904
RAH-420               12663268         3            20230904
PFD-286               91897732         2            20230904
YOT-530               31611146         4            20230904
XLF-273               42928709         4            20230904
KQA-580               50375303         5            20230904
FQG-293               69975105         5            20230904
YJD-279               50375303         5            20230904
PFD-286               76388967         6            20230904
TXM-139               48184351         1            20230904
IHG-413               33397650         3            20230904
DFJ-952               25171011         4            20230904
TMN-884               91897732         2            20230904
BRD-969               66409237         3            20230904
ZWF-661               77191257         4            20230904
IDO-503               32565207         6            20230904
III-576               63437380         5            20230904
QFP-254               42928709         5            20230904
YUQ-590               88956889         2            20230904
SPR-580               94080926         5            20230904
JCW-489               69324480         5            20230904
QRC-609               35565959         5            20230904
UWA-476               88956889         3            20230904
QFR-958               27912250         3            20230904
AQS-362               42798099         1            20230905
KJX-387               13245501         5            20230905
XOA-735               13245501         5            20230905
BMJ-772               12663268         1            20230905
YYU-726               67418025         6            20230905
VJI-529               69324480         1            20230905
TZY-323               16151792         3            20230905
UXG-019               55552996         6            20230905
BWD-036               60574154         2            20230905
XSD-310               22280452         2            20230905
KQA-580               63437380         2            20230905
CNQ-172               62566305         3            20230905
KCO-488               46462527         4            20230905
CIM-038               93845419         5            20230905
JXD-139               89298238         3            20230905
ICX-503               89298238         3            20230905
BRD-969               73914283         3            20230905
SPR-580               54716824         3            20230905
YUQ-590               64394265         1            20230905
VRR-793               98589725         1            20230905
DOV-560               76388967         2            20230905
RDT-761               80048864         5            20230905
TYF-885               43877279         5            20230905
